Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
AVRO-2925,1.10.0,1.10.1,1.10.1,{1.10.0},1,2020-08-21,2020-09-11
AVRO-2933,1.9.2,1.10.1,1.10.2,{1.9.2 / 1.10.0},1,2020-09-29,2021-03-07
AVRO-2943,1.10.0,1.10.1,1.11.2,{1.10.0},2,2020-10-23,2023-06-14
AVRO-2944,1.9.2,1.10.1,1.10.2,{1.9.2},2,2020-10-24,2021-02-03
AVRO-2983,1.10.0,1.10.1,1.10.2,{1.10.0},1,2020-11-20,2021-01-14
AVRO-2998,1.10.0,1.10.2,1.10.2,{1.10.0},1,2020-12-07,2021-03-05
AVRO-3003,1.10.1,1.10.2,1.11.1,{1.10.1},2,2020-12-18,2022-04-19
AVRO-3014,1.9.0,1.10.2,1.10.2,{1.9.0 / 1.10.0},1,2020-12-30,2021-03-04
AVRO-3044,1.10.1,1.10.2,1.10.2,{1.10.1},1,2021-02-12,2021-03-05
AVRO-3048,1.9.2,1.10.2,1.11.0,{1.9.2 / 1.10.1},1,2021-02-17,2021-05-04
AVRO-3049,1.10.0,1.10.2,1.10.2,{1.10.0},1,2021-02-20,2021-02-24
AVRO-3054,1.10.1,1.10.2,1.11.0,{1.10.1},1,2021-02-23,2021-05-15
AVRO-3075,1.10.1,1.10.2,1.11.0,{1.10.1},2,2021-03-10,2021-09-13
AVRO-3076,1.10.1,1.10.2,1.11.1,{1.10.1},1,2021-03-11,2022-06-17
AVRO-3079,1.10.1,1.11.0,1.11.0,{1.10.1},1,2021-03-17,2021-03-17
AVRO-3087,1.10.2,1.11.0,1.11.0,{1.10.2},1,2021-03-18,2021-03-22
AVRO-3092,1.10.1,1.11.0,1.11.0,{1.10.1},1,2021-03-25,2021-04-01
AVRO-3094,1.9.2,1.11.0,1.11.0,{1.9.2 / 1.10.2},1,2021-03-25,2021-04-06
AVRO-3095,1.10.2,1.11.0,1.11.0,{1.10.2},2,2021-03-25,2021-10-05
AVRO-3104,1.10.2,1.11.0,1.11.0,{1.10.2},1,2021-04-06,2021-05-28
AVRO-3111,1.10.1,1.11.0,1.11.0,{1.10.1 / 1.10.2},1,2021-04-15,2021-04-16
AVRO-3118,1.10.2,1.11.0,1.11.0,{1.10.2},1,2021-04-23,2021-05-28
AVRO-3124,1.10.1,1.11.0,1.11.0,{1.10.1},1,2021-04-29,2021-04-30
AVRO-3129,1.10.2,1.11.0,1.11.2,{1.10.2},1,2021-04-29,2022-09-14
AVRO-3133,1.10.2,1.11.0,1.11.1,{1.10.2},1,2021-05-07,2022-02-05
AVRO-3134,1.10.2,1.11.0,1.11.0,{1.10.2},1,2021-05-08,2021-09-13
AVRO-3159,1.10.2,1.11.0,1.11.1,{1.10.2},1,2021-06-17,2022-06-16
AVRO-3165,1.10.0,1.11.0,1.11.0,{1.10.0 / 1.10.1 / 1.10.2},1,2021-06-30,2021-06-30
AVRO-3171,1.10.1,1.11.0,1.11.0,{1.10.1},2,2021-07-06,2021-09-13
AVRO-3180,1.10.1,1.11.0,1.11.0,{1.10.1},1,2021-07-29,2021-07-31
AVRO-3182,1.10.2,1.11.0,1.11.0,{1.10.2},1,2021-08-04,2021-09-06
AVRO-3186,1.10.2,1.11.0,1.11.0,{1.10.2},1,2021-08-13,2021-10-05
AVRO-3201,1.10.1,1.11.0,1.11.0,{1.10.1},1,2021-09-11,2021-09-13
AVRO-3203,1.10.1,1.11.0,1.11.0,{1.10.1},1,2021-09-12,2021-10-06
AVRO-3212,1.10.2,1.11.0,1.11.0,{1.10.2},1,2021-09-20,2021-09-21
AVRO-3216,1.10.2,1.11.0,1.11.1,{1.10.2},1,2021-09-22,2022-01-05
AVRO-3217,1.10.2,1.11.0,1.11.1,{1.10.2},1,2021-09-24,2021-12-04
AVRO-3218,1.10.2,1.11.0,1.11.1,{1.10.2},1,2021-09-27,2021-12-20
AVRO-3226,1.10.1,1.11.0,1.11.0,{1.10.1},1,2021-10-07,2021-10-20
AVRO-3225,1.10.1,1.11.0,1.11.0,{1.10.1},1,2021-10-07,2021-10-20
AVRO-3229,1.10.2,1.11.0,1.11.1,{1.10.2},2,2021-10-11,2021-12-21
AVRO-3232,1.10.2,1.11.0,1.11.1,{1.10.2},2,2021-10-13,2022-01-07
AVRO-3234,1.10.2,1.11.0,1.11.1,{1.10.2},1,2021-10-15,2022-01-05
AVRO-3240,1.10.2,1.11.0,1.11.1,{1.10.2},3,2021-10-21,2022-01-07
AVRO-3251,1.11.0,1.11.1,1.11.1,{1.11.0},2,2021-11-09,2021-12-22
AVRO-3252,1.10.2,1.11.1,1.11.1,{1.10.2},1,2021-11-15,2021-12-20
AVRO-3256,1.11.0,1.11.1,1.11.1,{1.11.0},2,2021-11-18,2021-12-04
AVRO-3258,1.11.0,1.11.1,1.11.1,{1.11.0},2,2021-11-23,2021-12-09
