@relation BOOKKEEPER_Generico

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
566,4,0,48,11,32,11,28,0,3,566,561,141.5,634,561,150,32,150,NO
64,2,0,1,1,3,0,9,0,2,64,64,32,96,64,40,16,40,NO
29,2,0,1,0,1,0,1,0,2,29,29,14.5,31,29,15,1,15,NO
64,2,0,1,0,3,0,9,0,2,64,64,32,66,64,32.5,1,32.5,NO
37,2,0,1,0,1,0,2,0,2,37,37,18.5,43,37,20,3,20,NO
68,2,0,1,1,3,0,11,0,2,68,68,34,90,68,39.5,11,39.5,NO
154,3,0,16,2,4,1,23,0,2,154,153,51.333333,176,153,55,9,55,NO
72,2,0,1,0,3,0,12,0,2,72,72,36,74,72,36.5,1,36.5,NO
385,6,0,31,37,10,12,57,3,3,385,364,64.166667,415,364,66.666667,8,66.666667,NO
76,2,0,7,7,1,0,10,0,2,76,76,38,80,76,39,2,39,NO
159,3,0,15,2,6,2,24,0,2,159,158,53,167,158,54.333333,2,54.333333,NO
737,3,0,43,10,28,7,34,5,2,737,736,245.666667,1035,736,295.333333,144,295.333333,NO
74,2,0,1,0,5,0,2,0,2,74,74,37,78,74,38,2,38,NO
94,3,0,3,2,6,2,6,0,2,94,93,31.333333,100,93,32.333333,2,32.333333,NO
22,1,0,1,0,1,0,0,0,1,22,22,22,22,22,22,0,22,NO
427,3,0,10,5,15,10,22,0,2,427,426,142.333333,451,426,146.333333,10,146.333333,NO
62,1,0,1,0,0,2,2,0,1,62,62,62,62,62,62,0,62,NO
58,2,0,1,0,3,0,3,0,2,58,58,29,60,58,29.5,1,29.5,NO
91,2,0,1,0,6,0,3,0,2,91,91,45.5,101,91,48,5,48,NO
27,2,0,1,0,1,0,0,0,2,27,27,13.5,29,27,14,1,14,NO
77,2,0,1,0,6,0,1,0,2,77,77,38.5,81,77,39.5,2,39.5,NO
704,3,0,66,17,27,13,24,0,2,704,703,234.666667,780,703,247.333333,36,247.333333,NO
63,2,0,1,0,1,0,1,0,2,63,63,31.5,71,63,33.5,4,33.5,NO
37,1,0,1,0,2,0,0,0,1,37,37,37,37,37,37,0,37,NO
64,2,0,1,0,4,0,2,0,2,64,64,32,66,64,32.5,1,32.5,NO
124,2,0,3,1,2,3,11,0,2,124,124,62,130,124,63.5,3,63.5,NO
160,4,0,4,22,6,8,25,0,2,160,159,40,174,159,41.75,3,41.75,NO
36,2,0,2,0,2,0,1,0,2,36,36,18,46,36,20.5,5,20.5,NO
58,2,0,2,0,1,0,9,0,2,58,57,29,62,57,30,2,30,NO
62,1,0,1,0,3,0,9,0,1,62,62,62,62,62,62,0,62,NO
130,4,0,16,3,3,0,19,0,2,130,129,32.5,154,129,35.5,8,35.5,NO
74,2,0,5,0,1,0,10,0,2,74,73,37,78,73,38,2,38,NO
83,3,0,1,1,4,0,14,0,2,83,82,27.666667,89,82,28.666667,2,28.666667,NO
74,1,0,4,0,3,0,9,0,1,74,74,74,74,74,74,0,74,NO
48,2,0,6,1,0,0,3,0,2,48,48,24,52,48,25,2,25,NO
60,2,0,4,2,2,0,4,0,2,60,60,30,62,60,30.5,1,30.5,NO
70,3,0,1,0,4,0,10,0,2,70,70,23.333333,82,70,25.333333,4,25.333333,NO
183,4,0,10,4,12,2,24,0,2,183,180,45.75,221,180,50.5,12,50.5,NO
53,1,0,4,1,1,1,5,0,1,53,53,53,53,53,53,0,53,NO
452,4,0,37,9,24,7,24,0,2,452,450,113,492,450,118,17,118,NO
39,1,0,1,0,1,0,2,0,1,39,39,39,39,39,39,0,39,NO
78,2,0,7,0,5,3,9,0,2,78,78,39,86,78,41,4,41,NO
64,2,0,1,0,3,0,2,0,2,64,64,32,66,64,32.5,1,32.5,NO
31,2,0,1,0,1,0,1,0,2,31,31,15.5,33,31,16,1,16,NO
57,2,0,1,0,2,0,2,0,2,57,57,28.5,65,57,30.5,4,30.5,NO
104,2,0,24,0,4,0,4,0,2,104,104,52,118,104,55.5,7,55.5,NO
32,1,0,1,1,1,0,1,0,1,32,32,32,32,32,32,0,32,NO
227,3,0,1,4,12,6,25,0,2,227,226,75.666667,331,226,93,50,93,NO
197,4,0,4,4,10,7,16,0,3,197,187,49.25,219,187,52,6,52,NO
75,2,0,1,0,3,0,5,0,2,75,75,37.5,87,75,40.5,6,40.5,NO
28,1,0,1,0,2,0,2,0,1,28,28,28,28,28,28,0,28,NO
52,2,0,2,0,2,2,6,0,2,52,52,26,56,52,27,2,27,NO
429,3,0,21,9,20,5,26,0,2,429,428,143,583,428,168.666667,75,168.666667,NO
103,2,0,1,0,5,1,1,3,2,104,104,52,164,104,67,30,67,NO
35,1,0,1,1,0,1,2,0,1,35,35,35,35,35,35,0,35,NO
98,2,0,1,0,6,1,4,0,2,98,98,49,100,98,49.5,1,49.5,NO
79,3,0,6,0,2,1,10,0,2,79,78,26.333333,109,78,31.333333,13,31.333333,NO
215,3,1,1,11,5,3,17,8,1,215,177,71.666667,239,177,75.666667,8,75.666667,NO
271,2,0,2,10,4,9,22,6,1,271,260,135.5,297,260,142,13,142,NO
451,5,0,8,19,11,14,30,5,3,459,425,91.8,617,425,106.8,55,106.8,NO
137,0,0,5,3,1,6,9,2,0,0,0,0,0,0,0,0,0,NO
368,2,0,2,17,5,19,33,7,2,124,123,62,486,294,152.5,171,152.5,NO
764,20,7,60,16,29,14,22,8,3,612,327,30.6,1422,106,29,370,29,NO
51,2,0,1,0,3,1,1,1,2,53,52,26.5,55,52,26.5,2,26.5,NO
150,2,1,1,5,3,1,1,0,2,58,53,29,68,58,31.5,5,31.5,NO
31,2,0,1,0,1,1,1,0,2,35,33,17.5,35,33,16.5,2,16.5,NO
684,1,0,21,22,25,9,20,6,1,684,684,684,684,684,684,0,684,NO
180,0,0,10,1,8,3,3,0,0,0,0,0,0,0,0,0,0,NO
196,2,1,1,9,2,9,16,1,1,196,195,98,208,195,101,6,101,NO
482,13,5,34,12,12,18,20,2,3,291,129,22.384615,765,253,29.846154,194,29.846154,NO
40,1,1,7,0,0,0,0,0,1,40,40,40,40,40,40,0,40,NO
259,5,2,5,3,12,6,8,0,1,55,20,11,217,79,27.2,68,27.2,NO
379,4,1,9,12,4,13,26,2,3,379,211,94.75,423,228,100.25,17,100.25,NO
510,8,1,47,7,19,9,12,3,3,542,378,67.75,588,378,68.625,20,68.625,NO
32,1,0,1,0,0,1,1,0,1,32,32,32,32,32,32,0,32,NO
66,2,0,1,0,2,2,2,0,1,72,69,36,82,69,37,8,37,NO
