Class Name,Release ID, Size, Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,1,96,4,0,12,2,3,1,8,0,2,96,95,24.0,118,95,26.75,5,26.75,NO
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,1,88,3,0,15,0,4,0,5,0,2,88,87,29.333333333333332,94,87,30.333333333333332,2,30.333333333333332,NO
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,1,71,4,0,10,1,1,0,8,0,2,71,70,17.75,85,70,19.5,3,19.5,NO
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,1,114,4,0,18,1,4,1,10,0,2,114,113,28.5,132,113,30.75,4,30.75,NO
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,1,336,6,0,98,6,7,5,15,0,3,336,329,56.0,492,329,69.0,35,69.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,1,84,4,0,14,2,1,0,9,0,2,84,83,21.0,102,83,23.25,5,23.25,NO
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,1,58,3,0,4,6,1,0,9,0,2,58,58,19.333333333333332,68,58,21.0,3,21.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,1,123,4,0,33,2,1,2,10,0,2,123,122,30.75,137,122,32.5,4,32.5,YES
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,1,369,1,0,78,5,19,9,14,0,1,369,369,369.0,369,369,369.0,0,369.0,YES
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,1,231,5,0,60,4,5,3,18,0,2,231,224,46.2,255,224,48.6,6,48.6,YES
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,1,586,4,0,128,9,29,4,28,0,2,586,585,146.5,704,585,161.25,48,161.25,YES
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,1,366,5,0,101,7,9,4,25,0,2,366,365,73.2,414,365,78.0,14,78.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,1,99,4,0,22,2,1,2,9,0,2,99,98,24.75,117,98,27.0,4,27.0,YES
hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,1,41,1,0,2,0,1,0,2,0,1,41,41,41.0,41,41,41.0,0,41.0,NO
hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,1,66,2,0,4,1,7,2,4,0,2,66,65,33.0,92,65,39.5,13,39.5,NO
hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,1,54,3,0,1,1,2,1,4,0,3,54,45,18.0,56,45,18.333333333333332,1,18.333333333333332,NO
hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,1,47,2,0,1,0,2,0,1,0,2,47,47,23.5,55,47,25.5,4,25.5,NO
hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,1,183,4,0,1,5,16,2,4,0,3,187,185,46.75,223,185,50.75,16,50.75,NO
hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,1,49,1,0,1,1,3,2,0,0,1,49,49,49.0,49,49,49.0,0,49.0,NO
hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,1,50,1,0,1,1,5,0,0,0,1,50,50,50.0,50,50,50.0,0,50.0,NO
hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,1,98,2,0,1,1,5,4,2,0,2,98,97,49.0,102,97,50.0,2,50.0,NO
hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,1,138,1,0,23,1,9,1,0,0,1,138,138,138.0,138,138,138.0,0,138.0,NO
hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,1,43,1,0,1,1,3,0,0,0,1,43,43,43.0,43,43,43.0,0,43.0,NO
hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,1,42,1,0,1,1,3,0,0,0,1,42,42,42.0,42,42,42.0,0,42.0,NO
hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,1,56,1,0,5,2,3,3,0,0,1,56,56,56.0,56,56,56.0,0,56.0,NO
hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,1,162,2,0,5,10,4,1,1,0,2,162,162,81.0,164,162,81.5,1,81.5,NO
hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,1,6367,2,0,141,22,800,0,0,0,2,6367,6095,3183.5,18077,6127,6111.0,5855,6111.0,NO
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,1,153,2,0,4,3,7,3,5,0,2,153,153,76.5,157,153,77.5,2,77.5,NO
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,1,43,1,0,1,0,3,0,4,0,1,43,43,43.0,43,43,43.0,0,43.0,NO
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,1,41,2,0,5,1,2,0,2,0,2,41,41,20.5,43,41,21.0,1,21.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,1,105,3,0,2,1,5,4,3,0,2,105,104,35.0,205,104,51.666666666666664,48,51.666666666666664,YES
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,1,105,5,0,1,4,4,4,6,5,3,105,103,21.0,191,103,29.6,39,29.6,YES
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,1,92,4,0,1,5,4,2,2,5,3,92,91,23.0,160,91,31.5,31,31.5,YES
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,1,101,3,0,3,3,3,2,17,0,2,101,100,33.666666666666664,201,100,50.333333333333336,48,50.333333333333336,NO
hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,1,45,1,0,3,0,1,2,1,0,1,45,45,45.0,45,45,45.0,0,45.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,1,289,2,0,31,5,37,9,4,0,2,289,289,144.5,291,289,145.0,1,145.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,1,32,2,0,1,0,1,0,2,0,2,32,31,16.0,38,31,17.5,3,17.5,NO
hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,1,111,1,0,1,1,7,4,3,0,1,111,111,111.0,111,111,111.0,0,111.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,1,35,2,0,1,0,0,0,0,0,2,35,35,17.5,37,35,18.0,1,18.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,1,81,1,0,2,1,5,2,5,0,1,81,81,81.0,81,81,81.0,0,81.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,1,27,1,0,1,0,3,0,0,0,1,27,27,27.0,27,27,27.0,0,27.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,1,28,1,0,1,0,2,0,1,0,1,28,28,28.0,28,28,28.0,0,28.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,1,29,2,0,1,0,2,0,3,0,2,29,29,14.5,31,29,15.0,1,15.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,1,566,4,0,48,10,34,11,17,0,3,566,561,141.5,634,561,150.0,32,150.0,YES
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,1,64,2,0,1,2,4,0,9,0,2,64,64,32.0,96,64,40.0,16,40.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,1,29,2,0,1,0,1,0,1,0,2,29,29,14.5,31,29,15.0,1,15.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,1,64,2,0,1,0,3,0,9,0,2,64,64,32.0,66,64,32.5,1,32.5,NO
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,1,37,2,0,1,0,1,0,2,0,2,37,37,18.5,43,37,20.0,3,20.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,1,68,2,0,1,2,3,0,11,0,2,68,68,34.0,90,68,39.5,11,39.5,YES
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,1,154,3,0,16,4,4,1,22,0,2,154,153,51.333333333333336,176,153,55.0,9,55.0,YES
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,1,72,2,0,1,1,3,0,12,0,2,72,72,36.0,74,72,36.5,1,36.5,YES
hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,1,385,6,0,31,34,13,12,45,3,3,385,364,64.16666666666667,415,364,66.66666666666667,8,66.66666666666667,NO
hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,1,76,2,0,7,5,1,0,10,0,2,76,76,38.0,80,76,39.0,2,39.0,NO
hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,1,159,3,0,15,2,7,2,22,0,2,159,158,53.0,167,158,54.333333333333336,2,54.333333333333336,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,1,737,3,0,43,19,31,7,27,5,2,737,736,245.66666666666666,1035,736,295.3333333333333,144,295.3333333333333,NO
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,1,74,2,0,1,0,5,0,2,0,2,74,74,37.0,78,74,38.0,2,38.0,NO
