@relation AVRO_Training_Set_17

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
26,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO
441,2,1,19,7,34,6,6,7,1,13,12,6.5,13,12,6.5,0,6.5,YES
465,1,0,13,4,27,6,7,8,1,3,3,3,7,5,5,2,5,YES
191,0,0,3,1,14,5,5,6,0,0,0,0,0,0,0,0,0,YES
24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
24,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NO
52,1,0,2,1,3,1,1,7,1,5,5,5,5,0,0,5,0,NO
54,0,0,5,0,3,1,1,6,0,0,0,0,0,0,0,0,0,NO
192,0,0,9,4,4,3,3,4,0,0,0,0,0,0,0,0,0,NO
300,0,0,3,5,27,4,4,3,0,0,0,0,0,0,0,0,0,NO
250,0,0,3,2,22,3,3,2,0,0,0,0,0,0,0,0,0,NO
618,1,0,30,5,29,5,5,3,1,9,9,9,9,0,0,9,0,NO
37,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NO
35,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NO
279,0,0,4,1,1,3,3,1,0,0,0,0,0,0,0,0,0,NO
274,0,0,2,1,3,3,3,1,0,0,0,0,0,0,0,0,0,NO
398,0,0,2,4,29,3,6,6,0,0,0,0,0,0,0,0,0,NO
238,1,1,2,6,21,4,7,6,1,2,2,2,4,1,1,3,1,NO
74,0,0,1,1,2,1,1,4,0,0,0,0,0,0,0,0,0,NO
69,0,0,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,NO
203,0,0,2,4,8,2,2,4,0,0,0,0,0,0,0,0,0,NO
229,0,0,1,2,24,3,3,6,0,0,0,0,0,0,0,0,0,NO
202,0,0,2,4,21,4,4,6,0,0,0,0,0,0,0,0,0,NO
101,1,1,1,2,2,2,2,2,1,1,1,1,3,1,1,2,1,NO
165,1,1,3,1,6,2,2,1,1,21,21,21,21,21,21,0,21,NO
337,0,0,7,5,5,4,4,3,0,0,0,0,0,0,0,0,0,NO
94,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NO
381,1,1,11,12,12,5,10,0,1,1,1,1,1,0,0,1,0,NO
138,0,0,2,2,4,3,3,2,0,0,0,0,0,0,0,0,0,NO
40,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NO
86,0,0,5,1,4,5,5,0,0,0,0,0,0,0,0,0,0,NO
90,0,0,4,0,5,5,5,0,0,0,0,0,0,0,0,0,0,NO
78,1,0,2,4,3,5,7,0,1,79,79,79,79,79,79,0,79,NO
84,1,0,5,0,1,6,8,0,1,84,84,84,84,84,84,0,84,NO
59,2,0,4,4,2,1,3,1,1,93,76,46.5,111,76,42.5,26,42.5,NO
111,4,0,6,1,1,9,9,0,1,124,116,31,128,116,30,6,30,NO
149,1,0,1,0,3,3,3,1,1,0,0,0,36,18,18,18,18,NO
74,1,0,1,0,7,0,0,0,1,0,0,0,8,4,4,4,4,NO
230,2,0,14,11,8,7,9,13,1,1,1,0.5,21,8,5,9,5,NO
208,2,0,10,12,3,7,9,13,1,13,13,6.5,33,8,5,21,5,NO
55,1,0,2,1,1,3,7,1,1,56,56,56,56,56,56,0,56,NO
29,1,0,4,0,0,0,0,0,1,29,29,29,29,29,29,0,29,NO
110,1,0,2,6,4,6,8,0,1,0,0,0,4,2,2,2,2,NO
96,1,0,5,0,3,6,8,0,1,2,2,2,16,9,9,7,9,NO
42,0,0,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,NO
36,0,0,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,NO
356,2,0,17,6,12,13,15,11,1,51,50,25.5,91,70,35.5,20,35.5,YES
100,1,0,2,2,6,3,3,3,1,17,17,17,31,7,7,24,7,YES
73,1,0,1,1,3,1,1,4,1,8,8,8,8,8,8,0,8,YES
111,1,0,5,3,4,5,5,9,1,2,2,2,4,1,1,3,1,NO
99,1,0,5,3,4,4,4,9,1,29,29,29,33,2,2,31,2,YES
79,1,0,6,2,6,3,8,1,1,26,26,26,32,3,3,29,3,NO
28,1,0,2,0,1,2,2,0,1,0,0,0,4,2,2,2,2,NO
309,3,2,18,8,14,9,9,3,2,22,21,7.333333,332,174,59,153,59,YES
94,1,0,5,2,4,2,2,4,1,27,27,27,29,28,28,1,28,YES
45,1,0,2,0,3,0,0,2,1,2,2,2,14,6,6,8,6,YES
39,1,0,2,0,1,0,0,2,1,4,4,4,8,6,6,2,6,NO
40,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,YES
28,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NO
27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO
71,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,YES
80,1,0,5,3,0,2,2,6,1,0,0,0,2,1,1,1,1,NO
40,1,0,2,2,0,0,0,4,1,0,0,0,2,1,1,1,1,YES
87,0,0,2,2,6,1,1,1,0,0,0,0,0,0,0,0,0,NO
28,1,0,2,0,0,0,0,0,1,29,29,29,29,29,29,0,29,NO
28,1,0,2,0,0,0,0,0,1,29,29,29,29,29,29,0,29,NO
387,3,0,29,8,26,11,14,1,2,390,388,130,398,388,131,3,131,NO
1087,7,2,57,31,77,16,22,0,3,1087,913,155.285714,1211,913,164.142857,53,164.142857,NO
25,1,0,2,0,0,0,0,0,1,26,26,26,26,26,26,0,26,NO
50,4,0,4,0,1,2,2,0,2,54,39,13.5,80,39,16.25,7,16.25,NO
76,2,0,5,1,1,3,3,1,2,76,70,38,76,70,38,0,38,NO
38,3,0,1,0,0,0,0,0,2,38,37,12.666667,46,37,14,3,14,NO
168,3,0,8,3,12,4,4,3,1,169,149,56.333333,281,149,75,51,75,NO
267,6,1,19,7,9,10,10,5,2,276,177,46,384,177,54.333333,22,54.333333,NO
374,6,0,23,14,13,20,20,7,2,380,238,63.333333,456,238,69.166667,14,69.166667,NO
145,5,0,5,7,4,9,9,1,2,157,104,31.4,223,104,36.8,17,36.8,NO
85,1,0,3,0,6,3,3,0,1,85,85,85,85,85,85,0,85,NO
64,5,0,3,2,3,2,2,0,2,64,57,12.8,114,57,17.8,13,17.8,NO
36,1,0,2,0,3,4,4,0,1,37,37,37,37,37,37,0,37,NO
36,1,0,6,0,0,1,1,0,1,37,37,37,37,37,37,0,37,NO
36,1,0,5,0,0,0,0,0,1,37,37,37,37,37,37,0,37,NO
26,1,0,3,0,0,0,0,1,1,27,27,27,27,27,27,0,27,NO
491,6,2,28,6,43,4,4,7,3,499,489,83.166667,551,489,86.833333,14,86.833333,NO
354,5,1,4,4,27,4,4,7,3,607,476,121.4,751,476,110.6,189,110.6,NO
196,3,1,3,1,15,5,5,6,2,199,198,66.333333,207,198,67.333333,3,67.333333,NO
24,1,0,3,0,0,0,0,0,1,24,24,24,24,24,24,0,24,NO
27,2,1,3,0,0,0,0,0,1,33,30,16.5,39,30,16.5,6,16.5,NO
55,1,0,2,1,3,1,1,7,1,56,56,56,56,56,56,0,56,NO
54,1,0,2,0,3,1,1,6,1,55,55,55,55,55,55,0,55,NO
26,1,1,4,0,0,0,0,0,1,26,26,26,26,26,26,0,26,NO
187,3,0,10,3,2,1,1,5,2,197,192,65.666667,253,192,73.333333,30,73.333333,NO
983,4,0,48,6,51,4,4,1,2,983,673,245.75,1327,820,288.75,147,288.75,NO
252,2,1,3,2,22,3,3,2,2,253,251,126.5,255,251,127,1,127,NO
620,2,1,30,5,29,5,5,3,2,621,619,310.5,637,619,314.5,8,314.5,NO
37,1,0,2,0,0,1,1,1,1,38,38,38,38,38,38,0,38,NO
35,1,0,2,0,0,1,1,1,1,36,36,36,36,36,36,0,36,NO
286,2,0,4,1,1,3,3,1,1,287,280,143.5,289,280,144,1,144,NO
232,1,0,5,5,8,1,1,0,1,232,232,232,232,232,232,0,232,NO
203,1,0,3,5,13,4,4,1,1,203,203,203,203,203,203,0,203,NO
270,1,0,2,1,3,4,4,1,1,271,271,271,271,271,271,0,271,NO
425,6,2,5,5,31,4,7,6,2,426,424,71,440,424,72.166667,2,72.166667,NO
244,6,3,2,6,21,4,7,6,2,245,239,40.833333,267,239,42.666667,6,42.666667,NO
74,1,0,1,1,2,1,1,4,1,75,75,75,75,75,75,0,75,NO
69,1,0,2,1,2,2,2,1,1,70,70,70,70,70,70,0,70,NO
228,11,3,2,2,6,1,1,4,2,265,204,24.090909,389,204,28.090909,61,28.090909,NO
231,6,3,1,2,24,3,3,6,2,236,230,39.333333,242,230,39.5,3,39.5,NO
202,5,2,2,4,21,4,4,6,2,203,203,40.6,211,203,41.4,1,41.4,NO
99,5,1,1,2,2,2,2,2,2,108,102,21.6,126,102,22.6,4,22.6,NO
191,6,3,3,1,6,2,2,1,2,214,166,35.666667,382,166,47.833333,39,47.833333,NO
447,10,3,8,6,5,7,8,5,2,464,338,46.4,540,338,49.4,20,49.4,YES
95,6,3,1,0,0,1,1,0,2,98,95,16.333333,116,95,17.666667,4,17.666667,NO
