Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
BOOKKEEPER-413,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-10-01,2012-10-10
BOOKKEEPER-415,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-10-04,2012-10-10
BOOKKEEPER-424,4.0.0,4.1.1,4.1.1,{4.0.0 / 4.1.0},2,2012-10-07,2012-10-25
BOOKKEEPER-425,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-10-09,2012-10-26
BOOKKEEPER-434,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-10-15,2012-10-31
BOOKKEEPER-436,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-10-16,2012-10-16
BOOKKEEPER-439,4.1.0,4.1.1,4.1.1,{4.1.0 / 4.2.0},1,2012-10-19,2012-10-26
BOOKKEEPER-442,4.1.0,4.1.1,4.1.1,{4.1.0 / 4.2.0},1,2012-10-25,2012-12-03
BOOKKEEPER-454,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-02,2012-11-22
BOOKKEEPER-457,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-06,2012-11-29
BOOKKEEPER-458,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-06,2012-12-13
BOOKKEEPER-461,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-11,2012-12-04
BOOKKEEPER-468,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-19,2012-11-21
BOOKKEEPER-466,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-19,2012-11-21
BOOKKEEPER-467,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-19,2012-11-23
BOOKKEEPER-471,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-19,2012-11-27
BOOKKEEPER-470,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-19,2012-12-04
BOOKKEEPER-469,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-19,2012-12-10
BOOKKEEPER-475,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-21,2012-12-04
BOOKKEEPER-474,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-21,2012-12-08
BOOKKEEPER-477,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-23,2012-11-27
BOOKKEEPER-479,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-27,2012-11-27
BOOKKEEPER-481,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-27,2012-11-30
BOOKKEEPER-480,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-27,2012-11-30
BOOKKEEPER-485,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-27,2012-12-01
BOOKKEEPER-482,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-27,2012-12-01
BOOKKEEPER-484,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-27,2012-12-03
BOOKKEEPER-483,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-11-27,2012-12-13
BOOKKEEPER-493,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-06,2012-12-12
BOOKKEEPER-498,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-10,2012-12-10
BOOKKEEPER-497,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-10,2012-12-12
BOOKKEEPER-500,4.1.0,4.1.1,4.1.1,{4.1.0 / 4.2.0},1,2012-12-11,2012-12-18
BOOKKEEPER-504,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-13,2012-12-14
BOOKKEEPER-503,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-13,2013-01-12
BOOKKEEPER-512,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-14,2012-12-15
BOOKKEEPER-511,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-14,2012-12-15
BOOKKEEPER-509,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-14,2012-12-18
BOOKKEEPER-514,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-14,2012-12-28
BOOKKEEPER-507,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-14,2013-01-03
BOOKKEEPER-513,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-14,2013-01-14
BOOKKEEPER-520,4.1.0,4.1.1,4.1.1,{4.1.0},2,2012-12-18,2012-12-27
BOOKKEEPER-522,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-20,2012-12-24
BOOKKEEPER-530,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-12-29,2013-01-10
BOOKKEEPER-534,4.1.0,4.1.1,4.1.1,{4.1.0},1,2013-01-05,2013-01-07
BOOKKEEPER-532,4.1.0,4.1.1,4.1.1,{4.1.0},1,2013-01-05,2013-01-07
BOOKKEEPER-533,4.1.0,4.1.1,4.1.1,{4.1.0},1,2013-01-05,2013-01-09
BOOKKEEPER-531,4.1.0,4.1.1,4.1.1,{4.1.0},1,2013-01-05,2013-01-09
BOOKKEEPER-538,4.1.0,4.1.1,4.1.1,{4.1.0},1,2013-01-08,2013-01-10
BOOKKEEPER-539,4.1.0,4.1.1,4.1.1,{4.1.0},1,2013-01-09,2013-01-11
BOOKKEEPER-543,4.1.0,4.1.1,4.1.1,{4.1.0},1,2013-01-10,2013-01-10
BOOKKEEPER-544,4.1.1,4.1.1,4.2.2,{4.1.1},2,2013-01-11,2013-06-06
BOOKKEEPER-549,4.1.1,4.2.0,4.2.1,{4.1.1},1,2013-01-16,2013-02-19
BOOKKEEPER-548,4.1.1,4.2.0,4.2.1,{4.1.1},1,2013-01-16,2013-02-19
BOOKKEEPER-554,4.2.0,4.2.1,4.2.1,{4.2.0},1,2013-01-20,2013-02-12
BOOKKEEPER-556,4.1.1,4.2.1,4.2.1,{4.1.1},1,2013-01-24,2013-02-09
BOOKKEEPER-557,4.1.1,4.2.1,4.2.1,{4.1.1},1,2013-01-24,2013-03-25
BOOKKEEPER-559,4.2.0,4.2.1,4.2.1,{4.2.0},1,2013-01-28,2013-03-05
BOOKKEEPER-561,4.1.1,4.2.1,4.2.1,{4.1.1},1,2013-02-05,2013-02-08
BOOKKEEPER-567,4.1.1,4.2.1,4.2.1,{4.1.1},1,2013-02-09,2013-02-19
