Release ID, Release Name,Size, numberOfRevisions(numNR),numberOfDefectFixes(NumFix),numberOfAuthors(numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
12,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/package-info.java,20,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/package-info.java,20,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/AbstractLogCompactor.java,71,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookKeeperServerStats.java,93,2,0,1,0,0,0.0,0,0,0.0,0,0.0,false
9,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookKeeperServerStats.java,93,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookKeeperServerStats.java,135,8,0,6,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookKeeperServerStats.java,137,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookKeeperServerStats.java,140,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,13,0,3,0,0,0.0,0,0,0.0,0,0.0,true
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,764,20,7,3,0,0,0.0,0,0,0.0,0,0.0,true
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1242,17,10,3,0,0,0.0,0,0,0.0,0,0.0,true
4,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1248,2,2,2,0,0,0.0,0,0,0.0,0,0.0,true
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1154,8,3,3,0,0,0.0,0,0,0.0,0,0.0,true
6,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1248,8,1,2,0,0,0.0,0,0,0.0,0,0.0,true
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1272,5,1,3,0,0,0.0,0,0,0.0,0,0.0,true
8,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1371,7,0,4,0,0,0.0,0,0,0.0,0,0.0,true
