 Size, Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
112,1,1,7,0,7,6,0,0,1,2,2,2.0,8,5,5.0,3,5.0,NO
102,0,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
181,1,1,2,7,5,9,0,7,1,1,1,1.0,3,2,2.0,1,2.0,NO
35,0,0,1,0,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
94,1,1,10,0,5,4,0,0,1,5,5,5.0,13,9,9.0,4,9.0,NO
210,2,0,5,2,13,2,1,2,1,9,6,4.5,15,9,6.0,3,6.0,NO
196,0,0,1,2,16,8,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
121,0,0,2,1,0,1,2,8,0,0,0,0.0,0,0,0.0,0,0.0,NO
189,3,1,12,4,0,10,6,3,3,39,17,13.0,41,17,13.333333333333334,1,13.333333333333334,NO
182,0,0,5,3,5,4,0,6,0,0,0,0.0,0,0,0.0,0,0.0,NO
145,0,0,4,4,1,7,0,3,0,0,0,0.0,0,0,0.0,0,0.0,NO
175,0,0,2,2,7,3,0,2,0,0,0,0.0,0,0,0.0,0,0.0,NO
54,2,0,1,0,0,0,0,1,1,3,3,1.5,17,7,3.5,7,3.5,NO
42,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,NO
230,0,0,8,1,0,9,0,5,0,0,0,0.0,0,0,0.0,0,0.0,NO
